product_id,product_name,jumlah_penjualan,harga,diskon,status
P00125,Produk 125,145,61352,15,Laris
P00126,Produk 126,278,99303,20,Laris
P00127,Produk 127,270,22050,25,Laris
P00128,Produk 128,283,98480,25,Laris
P00129,Produk 129,53,55203,10,Tidak
P00130,Produk 130,59,48058,25,Tidak
P00131,Produk 131,283,60749,10,Laris
P00132,Produk 132,144,178552,5,Laris
P00133,Produk 133,175,73371,25,Laris
P00134,Produk 134,135,152489,15,Laris
P00135,Produk 135,128,33316,0,Laris
P00136,Produk 136,216,92530,0,Laris
P00137,Produk 137,1,107439,30,Tidak
P00138,Produk 138,66,187015,10,Tidak
P00139,Produk 139,82,135824,20,Laris
P00140,Produk 140,218,167038,0,Laris
P00141,Produk 141,57,39724,25,Tidak
P00142,Produk 142,76,163023,0,Tidak
P00143,Produk 143,189,172701,20,Laris
P00144,Produk 144,75,132666,5,Tidak
P00145,Produk 145,21,100808,10,Tidak
P00146,Produk 146,20,113797,5,Tidak
P00147,Produk 147,127,194832,0,Laris
P00148,Produk 148,181,166770,30,Laris
P00149,Produk 149,208,182702,25,Laris
P00150,Produk 150,79,82059,30,Tidak
P00151,Produk 151,83,66413,15,Laris
P00152,Produk 152,12,67018,25,Tidak
P00153,Produk 153,170,127928,30,Laris
P00154,Produk 154,127,89941,5,Laris
P00155,Produk 155,55,120281,30,Tidak
P00156,Produk 156,19,143388,5,Tidak
P00157,Produk 157,102,140665,10,Laris
P00158,Produk 158,156,79662,5,Laris
P00159,Produk 159,12,193023,5,Tidak
P00160,Produk 160,204,106051,10,Laris
P00161,Produk 161,35,93170,10,Tidak
P00162,Produk 162,260,124773,25,Laris
P00163,Produk 163,274,106808,0,Laris
P00164,Produk 164,59,88475,5,Tidak
P00165,Produk 165,297,89590,0,Laris
P00166,Produk 166,55,176387,15,Tidak
P00167,Produk 167,176,102228,15,Laris
P00168,Produk 168,261,50315,15,Laris
P00169,Produk 169,295,69828,10,Laris
P00170,Produk 170,22,134309,0,Tidak
P00171,Produk 171,266,161151,25,Laris
P00172,Produk 172,100,115478,15,Laris
P00173,Produk 173,35,194125,10,Tidak
P00174,Produk 174,160,193903,30,Laris
P00175,Produk 175,63,98727,20,Tidak
P00176,Produk 176,158,194821,15,Laris
P00177,Produk 177,167,125486,25,Laris
P00178,Produk 178,151,165335,5,Laris
P00179,Produk 179,98,130217,25,Laris
P00180,Produk 180,194,197554,25,Laris
P00181,Produk 181,89,181353,20,Laris
P00182,Produk 182,154,126450,20,Laris
P00183,Produk 183,0,99658,10,Tidak
P00184,Produk 184,107,132692,30,Laris
P00185,Produk 185,296,179032,25,Laris
P00186,Produk 186,164,141893,15,Laris
P00187,Produk 187,226,197111,5,Laris
P00188,Produk 188,261,144042,30,Laris
P00189,Produk 189,86,192713,0,Laris
P00190,Produk 190,145,155122,25,Laris
P00191,Produk 191,171,44480,30,Laris
P00192,Produk 192,120,196369,10,Laris
P00193,Produk 193,115,72200,5,Laris
P00194,Produk 194,12,32114,5,Tidak
P00195,Produk 195,243,180241,30,Laris
P00196,Produk 196,37,139384,15,Tidak
P00197,Produk 197,294,70970,25,Laris
P00198,Produk 198,196,149598,15,Laris
P00199,Produk 199,124,58684,25,Laris
P00200,Produk 200,2,47941,30,Tidak
P00201,Produk 201,217,77367,5,Laris
P00202,Produk 202,265,141778,0,Laris
P00203,Produk 203,285,85325,30,Laris
P00204,Produk 204,62,139658,5,Tidak
P00205,Produk 205,237,195001,20,Laris
P00206,Produk 206,286,176094,10,Laris
P00207,Produk 207,226,180603,30,Laris
P00208,Produk 208,258,131867,30,Laris
P00209,Produk 209,280,136893,5,Laris
P00210,Produk 210,243,137983,10,Laris
P00211,Produk 211,126,187159,10,Laris
P00212,Produk 212,266,147034,25,Laris
P00213,Produk 213,122,91984,15,Laris
P00214,Produk 214,39,94901,5,Tidak
P00215,Produk 215,139,108040,10,Laris
P00216,Produk 216,276,41122,5,Laris
P00217,Produk 217,77,80623,15,Tidak
P00218,Produk 218,78,76086,0,Tidak
P00219,Produk 219,212,126849,10,Laris
P00220,Produk 220,277,142139,15,Laris
P00221,Produk 221,31,74220,30,Tidak
P00222,Produk 222,215,122099,30,Laris
P00223,Produk 223,299,25120,30,Laris
P00224,Produk 224,294,119714,15,Laris
P00225,Produk 225,3,112211,10,Tidak
P00226,Produk 226,199,129843,20,Laris
P00227,Produk 227,279,178139,5,Laris
P00228,Produk 228,249,77520,10,Laris
P00229,Produk 229,223,147308,0,Laris
P00230,Produk 230,199,108114,25,Laris
P00231,Produk 231,207,63265,30,Laris
P00232,Produk 232,239,53456,20,Laris
P00233,Produk 233,273,27069,15,Laris
P00234,Produk 234,288,193801,0,Laris
P00235,Produk 235,42,188492,15,Tidak
P00236,Produk 236,69,141031,5,Tidak
P00237,Produk 237,25,88198,15,Tidak
P00238,Produk 238,167,75485,15,Laris
P00239,Produk 239,167,108473,30,Laris
P00240,Produk 240,194,92943,30,Laris
P00241,Produk 241,215,86131,30,Laris
P00242,Produk 242,41,143288,0,Tidak
P00243,Produk 243,276,33653,10,Laris
P00244,Produk 244,114,190431,0,Laris
P00245,Produk 245,20,28134,5,Tidak
P00246,Produk 246,102,25342,20,Laris
P00247,Produk 247,78,82533,5,Tidak
P00248,Produk 248,242,195494,0,Laris
P00249,Produk 249,288,77138,15,Laris
P00250,Produk 250,131,116703,5,Laris
P00251,Produk 251,58,62930,10,Tidak
P00252,Produk 252,55,171698,0,Tidak
P00253,Produk 253,159,170941,25,Laris
P00254,Produk 254,192,123980,25,Laris
P00255,Produk 255,101,39922,20,Laris
P00256,Produk 256,124,46712,25,Laris
P00257,Produk 257,154,199374,20,Laris
P00258,Produk 258,61,168355,30,Tidak
P00259,Produk 259,21,111017,20,Tidak
P00260,Produk 260,219,193413,10,Laris
P00261,Produk 261,35,152634,25,Tidak
P00262,Produk 262,174,23316,30,Laris
P00263,Produk 263,215,148503,0,Laris
P00264,Produk 264,221,114945,25,Laris
P00265,Produk 265,235,60105,15,Laris
P00266,Produk 266,90,156772,25,Laris
P00267,Produk 267,138,181457,30,Laris
P00268,Produk 268,275,146745,15,Laris
P00269,Produk 269,223,175313,10,Laris
P00270,Produk 270,165,84355,30,Laris
P00271,Produk 271,44,93119,15,Tidak
P00272,Produk 272,124,141820,20,Laris
P00273,Produk 273,194,108184,0,Laris
P00274,Produk 274,253,105200,5,Laris
P00275,Produk 275,249,75605,10,Laris
P00276,Produk 276,132,109217,10,Laris
P00277,Produk 277,141,165697,0,Laris
P00278,Produk 278,264,70084,0,Laris
P00279,Produk 279,123,126542,15,Laris
P00280,Produk 280,284,82999,25,Laris
P00281,Produk 281,243,189319,25,Laris
P00282,Produk 282,251,137486,30,Laris
P00283,Produk 283,8,44393,10,Tidak
P00284,Produk 284,113,126011,25,Laris
P00285,Produk 285,124,100270,25,Laris
P00286,Produk 286,297,116736,15,Laris
P00287,Produk 287,283,159177,10,Laris
P00288,Produk 288,217,164281,10,Laris
P00289,Produk 289,180,138946,10,Laris
P00290,Produk 290,156,85903,5,Laris
P00291,Produk 291,61,70484,10,Tidak
P00292,Produk 292,61,160473,30,Tidak
P00293,Produk 293,94,70211,5,Laris
P00294,Produk 294,247,92482,25,Laris
P00295,Produk 295,268,176445,10,Laris
P00296,Produk 296,51,70886,10,Tidak
P00297,Produk 297,116,114602,5,Laris
P00298,Produk 298,154,23708,25,Laris
P00299,Produk 299,273,53182,10,Laris
P00300,Produk 300,23,34293,20,Tidak
P00301,Produk 301,149,53103,25,Laris
P00302,Produk 302,251,46892,30,Laris
P00303,Produk 303,6,170487,10,Tidak
P00304,Produk 304,240,145492,15,Laris
P00305,Produk 305,174,68329,0,Laris
P00306,Produk 306,129,145233,0,Laris
P00307,Produk 307,33,125043,15,Tidak
P00308,Produk 308,37,171262,25,Tidak
P00309,Produk 309,27,59774,5,Tidak
P00310,Produk 310,288,99648,0,Laris
P00311,Produk 311,127,51051,20,Laris
P00312,Produk 312,213,178942,20,Laris
P00313,Produk 313,115,156989,15,Laris
P00314,Produk 314,230,136056,10,Laris
P00315,Produk 315,219,100053,20,Laris
P00316,Produk 316,30,179811,25,Tidak
P00317,Produk 317,50,74470,25,Tidak
P00318,Produk 318,108,89375,25,Laris
P00319,Produk 319,41,61171,5,Tidak
P00320,Produk 320,88,164701,0,Laris
P00321,Produk 321,80,20701,15,Tidak
P00322,Produk 322,230,175664,15,Laris
P00323,Produk 323,149,28556,5,Laris
P00324,Produk 324,147,94112,25,Laris
P00325,Produk 325,232,38659,25,Laris
P00326,Produk 326,119,89351,30,Laris
P00327,Produk 327,101,131447,0,Laris
P00328,Produk 328,278,78932,25,Laris
P00329,Produk 329,76,89633,30,Tidak
P00330,Produk 330,72,38719,0,Tidak
P00331,Produk 331,84,100638,20,Laris
P00332,Produk 332,291,95657,15,Laris
P00333,Produk 333,63,142866,25,Tidak
P00334,Produk 334,155,125515,10,Laris
P00335,Produk 335,256,161552,15,Laris
P00336,Produk 336,224,41087,20,Laris
P00337,Produk 337,20,133253,25,Tidak
P00338,Produk 338,165,178259,10,Laris
P00339,Produk 339,13,43940,5,Tidak
P00340,Produk 340,294,173910,0,Laris
P00341,Produk 341,137,171059,0,Laris
P00342,Produk 342,89,143338,20,Laris
P00343,Produk 343,226,92917,5,Laris
P00344,Produk 344,299,134264,25,Laris
P00345,Produk 345,251,43918,15,Laris
P00346,Produk 346,178,127046,10,Laris
P00347,Produk 347,164,195671,0,Laris
P00348,Produk 348,82,106456,15,Laris
P00349,Produk 349,253,95554,25,Laris
P00350,Produk 350,205,164204,0,Laris
P00351,Produk 351,232,43084,10,Laris
P00352,Produk 352,129,104744,0,Laris
P00353,Produk 353,206,154898,30,Laris
P00354,Produk 354,0,192401,30,Tidak
P00355,Produk 355,277,141104,15,Laris
P00356,Produk 356,27,69173,20,Tidak
P00357,Produk 357,185,183219,30,Laris
P00358,Produk 358,255,183947,15,Laris
P00359,Produk 359,26,73361,10,Tidak
P00360,Produk 360,281,54344,10,Laris
P00361,Produk 361,224,147064,0,Laris
P00362,Produk 362,14,185156,20,Tidak
P00363,Produk 363,122,61517,10,Laris
P00364,Produk 364,282,23584,20,Laris
P00365,Produk 365,208,44434,5,Laris
P00366,Produk 366,58,140965,0,Tidak
P00367,Produk 367,78,150646,25,Tidak
P00368,Produk 368,149,153397,25,Laris
P00369,Produk 369,139,128918,30,Laris
P00370,Produk 370,247,143789,5,Laris
P00371,Produk 371,233,164510,5,Laris
P00372,Produk 372,196,69967,20,Laris
P00373,Produk 373,260,55784,30,Laris
P00374,Produk 374,35,92416,30,Tidak
P00375,Produk 375,212,109096,30,Laris
P00376,Produk 376,259,90037,30,Laris
P00377,Produk 377,1,94144,25,Tidak
P00378,Produk 378,152,173862,20,Laris
P00379,Produk 379,250,58953,15,Laris
P00380,Produk 380,275,146967,10,Laris
P00381,Produk 381,170,164681,30,Laris
P00382,Produk 382,278,118883,15,Laris
P00383,Produk 383,164,69454,25,Laris
P00384,Produk 384,122,169893,15,Laris
P00385,Produk 385,119,127682,0,Laris
P00386,Produk 386,162,143987,25,Laris
P00387,Produk 387,195,121208,25,Laris
P00388,Produk 388,77,149847,0,Tidak
P00389,Produk 389,64,151672,20,Tidak
P00390,Produk 390,169,46309,30,Laris
P00391,Produk 391,225,46138,20,Laris
P00392,Produk 392,233,24023,25,Laris
P00393,Produk 393,73,127473,30,Tidak
P00394,Produk 394,79,39615,15,Tidak
P00395,Produk 395,135,108751,20,Laris
P00396,Produk 396,203,190350,0,Laris
P00397,Produk 397,168,196778,30,Laris
P00398,Produk 398,273,119617,10,Laris
P00399,Produk 399,249,161824,0,Laris
P00400,Produk 400,35,81543,25,Tidak
P00401,Produk 401,147,79634,25,Laris
P00402,Produk 402,46,133763,0,Tidak
P00403,Produk 403,51,136307,5,Tidak
P00404,Produk 404,153,27588,0,Laris
P00405,Produk 405,166,34711,10,Laris
P00406,Produk 406,183,118262,15,Laris
P00407,Produk 407,74,84014,20,Tidak
P00408,Produk 408,210,168354,25,Laris
P00409,Produk 409,92,64560,5,Laris
P00410,Produk 410,40,179774,30,Tidak
P00411,Produk 411,195,182453,25,Laris
P00412,Produk 412,123,150460,20,Laris
P00413,Produk 413,73,80866,15,Tidak
P00414,Produk 414,130,140473,10,Laris
P00415,Produk 415,4,141963,10,Tidak
P00416,Produk 416,279,61412,0,Laris
P00417,Produk 417,226,110587,20,Laris
P00418,Produk 418,153,187493,15,Laris
P00419,Produk 419,128,139756,30,Laris
P00420,Produk 420,154,72223,15,Laris
P00421,Produk 421,247,47958,5,Laris
P00422,Produk 422,195,169926,10,Laris
P00423,Produk 423,294,97561,25,Laris
P00424,Produk 424,151,25751,30,Laris
P00425,Produk 425,202,91953,0,Laris
P00426,Produk 426,289,199778,30,Laris
P00427,Produk 427,25,178965,25,Tidak
P00428,Produk 428,254,95024,30,Laris
P00429,Produk 429,117,179138,30,Laris
P00430,Produk 430,180,77410,25,Laris
P00431,Produk 431,97,182762,10,Laris
P00432,Produk 432,70,184691,0,Tidak
P00433,Produk 433,20,100984,30,Tidak
P00434,Produk 434,225,28746,20,Laris
P00435,Produk 435,186,54448,0,Laris
P00436,Produk 436,151,105647,25,Laris
P00437,Produk 437,212,66042,5,Laris
P00438,Produk 438,67,161402,10,Tidak
P00439,Produk 439,271,151542,10,Laris
P00440,Produk 440,84,87363,30,Laris
P00441,Produk 441,246,97369,25,Laris
P00442,Produk 442,173,50191,15,Laris
P00443,Produk 443,38,56898,30,Tidak
P00444,Produk 444,115,197294,25,Laris
P00445,Produk 445,203,166096,10,Laris
P00446,Produk 446,46,123435,0,Tidak
P00447,Produk 447,135,160659,0,Laris
P00448,Produk 448,232,116622,25,Laris
P00449,Produk 449,134,173238,15,Laris
P00450,Produk 450,190,48402,25,Laris
P00451,Produk 451,119,143594,0,Laris
P00452,Produk 452,287,105984,20,Laris
P00453,Produk 453,113,189778,0,Laris
P00454,Produk 454,237,99217,25,Laris
P00455,Produk 455,209,50585,5,Laris
P00456,Produk 456,23,29754,10,Tidak
P00457,Produk 457,252,50440,0,Laris
P00458,Produk 458,120,160914,5,Laris
P00459,Produk 459,198,138919,10,Laris
P00460,Produk 460,276,129871,20,Laris
P00461,Produk 461,79,128759,25,Tidak
P00462,Produk 462,50,148279,20,Tidak
P00463,Produk 463,208,93332,0,Laris
P00464,Produk 464,189,76955,15,Laris
P00465,Produk 465,227,81895,30,Laris
P00466,Produk 466,185,46045,25,Laris
P00467,Produk 467,188,162728,25,Laris
P00468,Produk 468,183,35872,15,Laris
P00469,Produk 469,141,69757,0,Laris
P00470,Produk 470,232,44031,25,Laris
P00471,Produk 471,108,188218,25,Laris
P00472,Produk 472,10,33258,30,Tidak
P00473,Produk 473,170,83850,5,Laris
P00474,Produk 474,289,73793,0,Laris
P00475,Produk 475,283,74305,20,Laris
P00476,Produk 476,110,81079,10,Laris
P00477,Produk 477,75,176233,0,Tidak
P00478,Produk 478,141,57929,5,Laris
P00479,Produk 479,276,85707,30,Laris
P00480,Produk 480,89,48816,25,Laris
P00481,Produk 481,13,54551,0,Tidak
P00482,Produk 482,183,82372,20,Laris
P00483,Produk 483,165,24136,5,Laris
P00484,Produk 484,135,33736,5,Laris
P00485,Produk 485,215,157910,0,Laris
P00486,Produk 486,32,144845,15,Tidak
P00487,Produk 487,185,154542,20,Laris
P00488,Produk 488,55,138490,20,Tidak
P00489,Produk 489,113,181246,0,Laris
P00490,Produk 490,266,99070,15,Laris
P00491,Produk 491,15,35945,15,Tidak
P00492,Produk 492,205,131745,25,Laris
P00493,Produk 493,55,148521,25,Tidak
P00494,Produk 494,227,39265,0,Laris
P00495,Produk 495,164,179461,5,Laris
P00496,Produk 496,33,53080,10,Tidak
P00497,Produk 497,299,163748,25,Laris
P00498,Produk 498,166,119851,20,Laris
P00499,Produk 499,271,97305,15,Laris
P00500,Produk 500,258,178709,15,Laris
P00501,Produk 501,50,49992,30,Tidak
P00502,Produk 502,282,76367,15,Laris
P00503,Produk 503,231,79898,15,Laris
P00504,Produk 504,173,138882,15,Laris
P00505,Produk 505,212,44926,10,Laris
P00506,Produk 506,218,101926,25,Laris
P00507,Produk 507,130,118120,5,Laris
P00508,Produk 508,242,37598,0,Laris
P00509,Produk 509,43,44439,15,Tidak
P00510,Produk 510,49,117687,30,Tidak
P00511,Produk 511,66,165849,0,Tidak
P00512,Produk 512,300,167216,20,Laris
P00513,Produk 513,168,195639,0,Laris
P00514,Produk 514,210,112693,30,Laris
P00515,Produk 515,216,33486,10,Laris
P00516,Produk 516,159,112181,0,Laris
P00517,Produk 517,295,153015,5,Laris
P00518,Produk 518,79,192159,15,Tidak
P00519,Produk 519,114,48368,10,Laris
P00520,Produk 520,284,116353,0,Laris
P00521,Produk 521,142,170496,5,Laris
P00522,Produk 522,219,167053,30,Laris
P00523,Produk 523,285,26882,20,Laris
P00524,Produk 524,136,27589,5,Laris
P00525,Produk 525,139,100998,10,Laris
P00526,Produk 526,179,21600,5,Laris
P00527,Produk 527,73,168457,25,Tidak
P00528,Produk 528,205,38241,5,Laris
P00529,Produk 529,15,44053,25,Tidak
P00530,Produk 530,271,76395,15,Laris
P00531,Produk 531,214,138920,10,Laris
P00532,Produk 532,80,117007,10,Tidak
P00533,Produk 533,166,168791,20,Laris
P00534,Produk 534,43,33791,5,Tidak
P00535,Produk 535,80,181962,0,Tidak
P00536,Produk 536,41,91330,15,Tidak
P00537,Produk 537,217,147313,20,Laris
P00538,Produk 538,226,128575,10,Laris
P00539,Produk 539,110,154308,0,Laris
P00540,Produk 540,176,132699,0,Laris
P00541,Produk 541,145,197790,25,Laris
P00542,Produk 542,249,158132,25,Laris
P00543,Produk 543,157,31905,5,Laris
P00544,Produk 544,202,177109,0,Laris
P00545,Produk 545,3,73588,10,Tidak
P00546,Produk 546,108,55975,30,Laris
P00547,Produk 547,130,95876,10,Laris
P00548,Produk 548,61,22026,15,Tidak
P00549,Produk 549,220,66057,5,Laris
P00550,Produk 550,194,159613,25,Laris
P00551,Produk 551,117,151140,20,Laris
P00552,Produk 552,181,38894,15,Laris
P00553,Produk 553,21,134352,0,Tidak
P00554,Produk 554,235,40411,30,Laris
P00555,Produk 555,160,170931,15,Laris
P00556,Produk 556,293,126017,25,Laris
P00557,Produk 557,213,95894,0,Laris
P00558,Produk 558,207,25467,10,Laris
P00559,Produk 559,87,182037,15,Laris
P00560,Produk 560,185,43102,15,Laris
P00561,Produk 561,54,83783,15,Tidak
P00562,Produk 562,205,157353,0,Laris
P00563,Produk 563,202,101336,25,Laris
P00564,Produk 564,173,78083,10,Laris
P00565,Produk 565,86,40022,20,Laris
P00566,Produk 566,58,159094,20,Tidak
P00567,Produk 567,99,111586,10,Laris
P00568,Produk 568,75,81936,0,Tidak
P00569,Produk 569,74,87100,5,Tidak
P00570,Produk 570,88,177915,5,Laris
P00571,Produk 571,38,66437,30,Tidak
P00572,Produk 572,252,141622,30,Laris
P00573,Produk 573,288,171904,15,Laris
P00574,Produk 574,289,188556,25,Laris
P00575,Produk 575,165,184421,10,Laris
P00576,Produk 576,77,135281,0,Tidak
P00577,Produk 577,240,135922,25,Laris
P00578,Produk 578,155,92004,20,Laris
P00579,Produk 579,28,112259,20,Tidak
P00580,Produk 580,37,101371,15,Tidak
P00581,Produk 581,231,29858,0,Laris
P00582,Produk 582,188,95255,0,Laris
P00583,Produk 583,46,181220,20,Tidak
P00584,Produk 584,259,120789,15,Laris
P00585,Produk 585,297,165310,30,Laris
P00586,Produk 586,21,137894,30,Tidak
P00587,Produk 587,292,190875,5,Laris
P00588,Produk 588,164,178598,15,Laris
P00589,Produk 589,256,59547,0,Laris
P00590,Produk 590,230,47132,30,Laris
P00591,Produk 591,175,42106,20,Laris
P00592,Produk 592,88,30260,5,Laris
P00593,Produk 593,224,135191,20,Laris
P00594,Produk 594,267,179856,5,Laris
P00595,Produk 595,186,117740,10,Laris
P00596,Produk 596,198,127156,30,Laris
P00597,Produk 597,173,197968,20,Laris
P00598,Produk 598,26,185383,25,Tidak
P00599,Produk 599,171,37278,10,Laris
P00600,Produk 600,48,166266,25,Tidak
P00601,Produk 601,197,94487,10,Laris
P00602,Produk 602,76,107388,0,Tidak
P00603,Produk 603,298,193961,5,Laris
P00604,Produk 604,179,101325,25,Laris
P00605,Produk 605,200,53803,20,Laris
P00606,Produk 606,43,101155,20,Tidak
P00607,Produk 607,192,188687,30,Laris
P00608,Produk 608,168,53500,25,Laris
P00609,Produk 609,269,44498,25,Laris
P00610,Produk 610,216,153297,10,Laris
P00611,Produk 611,9,115052,10,Tidak
P00612,Produk 612,92,76149,10,Laris
P00613,Produk 613,248,70333,5,Laris
P00614,Produk 614,70,60617,0,Tidak
P00615,Produk 615,151,46513,20,Laris
P00616,Produk 616,276,158027,0,Laris
P00617,Produk 617,172,182013,5,Laris
P00618,Produk 618,192,60436,5,Laris
P00619,Produk 619,92,183771,30,Laris
P00620,Produk 620,84,134733,0,Laris
P00621,Produk 621,210,115498,25,Laris
P00622,Produk 622,121,136444,20,Laris
P00623,Produk 623,145,137683,5,Laris
P00624,Produk 624,273,82696,10,Laris
P00625,Produk 625,240,70860,10,Laris
P00626,Produk 626,292,135499,15,Laris
P00627,Produk 627,144,120105,20,Laris
P00628,Produk 628,270,129749,5,Laris
P00629,Produk 629,102,178508,5,Laris
P00630,Produk 630,128,33678,25,Laris
P00631,Produk 631,246,117311,20,Laris
P00632,Produk 632,52,155242,30,Tidak
P00633,Produk 633,63,94727,0,Tidak
P00634,Produk 634,82,91510,15,Laris
P00635,Produk 635,262,58626,30,Laris
P00636,Produk 636,223,44042,5,Laris
P00637,Produk 637,230,111641,0,Laris
P00638,Produk 638,212,33960,15,Laris
P00639,Produk 639,257,118031,5,Laris
P00640,Produk 640,197,41392,10,Laris
P00641,Produk 641,114,27389,10,Laris
P00642,Produk 642,50,190383,10,Tidak
P00643,Produk 643,74,56070,0,Tidak
P00644,Produk 644,146,143851,25,Laris
P00645,Produk 645,71,142974,15,Tidak
P00646,Produk 646,2,40768,0,Tidak
P00647,Produk 647,131,76532,30,Laris
P00648,Produk 648,76,163865,25,Tidak
P00649,Produk 649,270,130953,0,Laris
P00650,Produk 650,147,82295,10,Laris
P00651,Produk 651,62,32517,5,Tidak
P00652,Produk 652,214,187497,30,Laris
P00653,Produk 653,234,36464,0,Laris
P00654,Produk 654,255,176431,20,Laris
P00655,Produk 655,8,185663,20,Tidak
P00656,Produk 656,294,83422,25,Laris
